Collection,Collection_URL_NL,Collection_URL_EN,Concept,isPreferred,URI ending,Stable URL English,Stable Nederlands URL
Text documents,https://dans.knaw.nl/nl/bestandsformaten/tekstdocumenten/,https://dans.knaw.nl/en/file-formats/text-documents/,PDF/A (.pdf),preferredFileFormats,text-documents_pdf-a_,https://dans.knaw.nl/en/file-formats/text-documents/pdf-a/,https://dans.knaw.nl/bestandsformaten/tekstdocumenten/pdf-a/
Text documents,https://dans.knaw.nl/nl/bestandsformaten/tekstdocumenten/,https://dans.knaw.nl/en/file-formats/text-documents/,ODT (.odt),preferredFileFormats,text-documents_opendocument-text_,https://dans.knaw.nl/en/file-formats/text-documents/opendocument-text/,https://dans.knaw.nl/bestandsformaten/tekstdocumenten/opendocument-text-odt/
Text documents,https://dans.knaw.nl/nl/bestandsformaten/tekstdocumenten/,https://dans.knaw.nl/en/file-formats/text-documents/,Microsoft Word (.doc),nonPreferredFileFormats,text-documents_microsoft-word-and-office-open-xml_,https://dans.knaw.nl/en/file-formats/text-documents/microsoft-word-and-office-open-xml/,https://dans.knaw.nl/bestandsformaten/tekstdocumenten/microsoft-word-doc-en-office-open-xml-docx/
Text documents,https://dans.knaw.nl/nl/bestandsformaten/tekstdocumenten/,https://dans.knaw.nl/en/file-formats/text-documents/,Office Open XML (.docx),nonPreferredFileFormats,text-documents_microsoft-word-and-office-open-xml_,https://dans.knaw.nl/en/file-formats/text-documents/microsoft-word-and-office-open-xml/,https://dans.knaw.nl/bestandsformaten/tekstdocumenten/microsoft-word-doc-en-office-open-xml-docx/
Text documents,https://dans.knaw.nl/nl/bestandsformaten/tekstdocumenten/,https://dans.knaw.nl/en/file-formats/text-documents/,Rich Text File (.rtf),nonPreferredFileFormats,text-documents_rich-text-file-rtf_,https://dans.knaw.nl/en/file-formats/text-documents/rich-text-file-rtf/,https://dans.knaw.nl/bestandsformaten/tekstdocumenten/rich-text-file-rtf/
Text documents,https://dans.knaw.nl/nl/bestandsformaten/tekstdocumenten/,https://dans.knaw.nl/en/file-formats/text-documents/,PDF other than PDF/A (.pdf),nonPreferredFileFormats,text-documents_pdf-pdf_,https://dans.knaw.nl/en/file-formats/text-documents/pdf-pdf/,https://dans.knaw.nl/bestandsformaten/tekstdocumenten/pdf-pdf/
Plain text,https://dans.knaw.nl/nl/bestandsformaten/platte-tekst/,https://dans.knaw.nl/en/file-formats/plain-text/,Unicode text (.txt),preferredFileFormats,plain-text_unicode_,https://dans.knaw.nl/en/file-formats/plain-text/unicode/,https://dans.knaw.nl/bestandsformaten/platte-tekst/unicode/
Plain text,https://dans.knaw.nl/nl/bestandsformaten/platte-tekst/,https://dans.knaw.nl/en/file-formats/plain-text/,Non-Unicode text (.txt),nonPreferredFileFormats,plain-text_non-unicode_,https://dans.knaw.nl/en/file-formats/plain-text/non-unicode/,https://dans.knaw.nl/bestandsformaten/platte-tekst/non-unicode/
Markup language,https://dans.knaw.nl/bestandsformaten/opmaaktaal/,https://dans.knaw.nl/en/file-formats/markup-language/,XML (.xml),preferredFileFormats,markup-language_xml_,https://dans.knaw.nl/en/file-formats/markup-language/xml/,https://dans.knaw.nl/bestandsformaten/opmaaktaal/xml/
Markup language,https://dans.knaw.nl/bestandsformaten/opmaaktaal/,https://dans.knaw.nl/en/file-formats/markup-language/,HTML (.html),preferredFileFormats,markup-language_html_,https://dans.knaw.nl/en/file-formats/markup-language/html/,https://dans.knaw.nl/bestandsformaten/opmaaktaal/html/
Markup language,https://dans.knaw.nl/bestandsformaten/opmaaktaal/,https://dans.knaw.nl/en/file-formats/markup-language/,.css,preferredFileFormats,markup-language_css_,https://dans.knaw.nl/en/file-formats/markup-language/css/,https://dans.knaw.nl/bestandsformaten/opmaaktaal/css/
Markup language,https://dans.knaw.nl/bestandsformaten/opmaaktaal/,https://dans.knaw.nl/en/file-formats/markup-language/,.xslt,preferredFileFormats,markup-language_xslt_,https://dans.knaw.nl/en/file-formats/markup-language/xslt/,https://dans.knaw.nl/bestandsformaten/opmaaktaal/xslt/
Markup language,https://dans.knaw.nl/bestandsformaten/opmaaktaal/,https://dans.knaw.nl/en/file-formats/markup-language/,.js,preferredFileFormats,markup-language_xslt_,https://dans.knaw.nl/bestandsformaten/opmaaktaal/script/,https://dans.knaw.nl/en/file-formats/markup-language/script/
Markup language,https://dans.knaw.nl/bestandsformaten/opmaaktaal/,https://dans.knaw.nl/en/file-formats/markup-language/,.es,preferredFileFormats,markup-language_xslt_,https://dans.knaw.nl/bestandsformaten/opmaaktaal/script/,https://dans.knaw.nl/en/file-formats/markup-language/script/
